Time	Score	Hips	Spine		Neck		LeftUpperArm	LeftLowerArm	LeftHand				RightUpperArm	RightLowerArm	RightHand				LeftUpperLeg	LeftLowerLeg	LeftFoot		RightUpperLeg	RightLowerLeg	RightFoot		LeftShoulder	RightShoulder	Upper Lip Raiser	Jaw Lowerer	Lip Stretcher L	Lip Stretcher R	Brow Lowerer L	Brow Lowerer R	Lip Corner Depressor L	Lip Corner Depressor R	Eyelid Closed L	Eyelid Closed R	
00:00:00.7202537	454	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.3, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4585941	0.26304	0.04499126	0	0.7169191	0.7169191	0.01999541	0.01137126	0.5884629	0.6566494
00:00:00.8033086	511	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4590546	0.1802544	0.1242769	0.006197063	0.6887467	0.6887467	0.01911866	0.01606729	0.5238651	0.5182788
00:00:00.8043087	511	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4590546	0.1802544	0.1242769	0.006197063	0.6887467	0.6887467	0.01911866	0.01606729	0.5238651	0.5182788
00:00:00.8048087	511	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4590546	0.1802544	0.1242769	0.006197063	0.6887467	0.6887467	0.01911866	0.01606729	0.5238651	0.5182788
00:00:00.8258232	564	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
00:00:00.8618685	590	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
00:00:00.9026213	616	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.0, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
00:00:00.9266377	626	(0.0, 1.0, 0.0)	(0.0, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.0)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.0, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
00:00:00.9576474	641	(0.0, 1.0, 0.0)	(-0.1, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.3, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.0, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
00:00:00.9955047	674	(-0.1, 1.0, 0.0)	(-0.1, 1.1, -0.1)		(-0.1, 1.5, -0.1)		(-0.3, 1.4, -0.1)	(-0.4, 1.1, -0.1)	(-0.4, 0.9, 0.1)				(0.1, 1.4, -0.1)	(0.2, 1.1, -0.1)	(0.3, 0.9, 0.0)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.0, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.1, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4276026	0.1520959	0.06910405	0.05934649	0.6039293	0.6039293	0.1101048	0.09001911	0.5449584	0.492679
